Date,Open,High,Low,Close,Adj Close,Volume
2020-09-08,170.300003,171.039993,168.360001,168.580002,158.727188,3976000
2020-09-09,170.830002,173.139999,170.330002,171.880005,161.834305,4290400
2020-09-10,173.059998,173.490005,168.600006,169.059998,159.179153,3507600
2020-09-11,170.240005,170.559998,167.500000,169.119995,159.235626,3407700
2020-09-14,171.000000,172.369995,170.600006,171.759995,161.721329,3080800
2020-09-15,173.199997,173.639999,172.110001,172.740005,162.644058,2129700
2020-09-16,173.460007,174.380005,172.070007,172.169998,162.107346,2826900
2020-09-17,169.559998,171.539993,169.220001,170.750000,160.770340,2780400
2020-09-18,171.210007,171.210007,167.529999,169.089996,159.207397,3178000
2020-09-21,166.470001,167.059998,164.270004,167.050003,157.286606,4175300
2020-09-22,167.759995,168.929993,166.369995,168.710007,158.849609,2090900
2020-09-23,169.000000,169.130005,164.350006,164.639999,155.017441,2071400
2020-09-24,163.919998,166.690002,162.850006,164.990005,155.347031,3792200
2020-09-25,163.779999,167.440002,163.529999,166.960007,157.846680,2986000
2020-09-28,169.320007,170.300003,168.889999,169.990005,160.711273,3291300
2020-09-29,169.839996,170.229996,168.690002,169.039993,159.813141,2120600
2020-09-30,169.509995,171.970001,169.250000,170.309998,161.013824,4786400
2020-10-01,171.720001,172.250000,170.610001,171.729996,162.356323,3234100
2020-10-02,168.649994,171.309998,168.229996,170.389999,161.089493,2325600
2020-10-05,171.610001,173.529999,171.330002,173.460007,163.991882,2574200
2020-10-06,173.729996,174.979996,171.009995,171.320007,161.968704,2803300
2020-10-07,172.990005,174.729996,172.940002,174.309998,164.795502,1952400
2020-10-08,175.529999,175.889999,174.880005,175.839996,166.242004,2335200
2020-10-09,176.899994,177.630005,176.440002,177.320007,167.641205,2489200
2020-10-12,178.649994,180.639999,178.410004,179.949997,170.127640,2895800
2020-10-13,179.669998,179.820007,178.429993,179.000000,169.229492,2448900
2020-10-14,179.199997,179.919998,177.490005,177.809998,168.104446,2155600
2020-10-15,175.610001,178.070007,175.160004,177.869995,168.161179,2865300
2020-10-16,178.479996,179.309998,177.550003,177.550003,167.858658,1910200
2020-10-19,178.309998,179.250000,174.619995,175.009995,165.457275,2713800
2020-10-20,175.899994,177.360001,175.240005,175.619995,166.033997,2622900
2020-10-21,175.660004,176.720001,175.020004,175.020004,165.466751,3237200
2020-10-22,175.330002,176.559998,174.119995,176.259995,166.639069,3762200
2020-10-23,176.809998,176.949997,175.460007,176.839996,167.187393,2412700
2020-10-26,175.039993,175.490005,171.600006,173.630005,164.152634,3873600
2020-10-27,173.830002,174.020004,172.820007,172.929993,163.490799,2525200
2020-10-28,169.899994,170.229996,167.009995,167.199997,158.073578,4617500
2020-10-29,167.500000,170.470001,166.500000,168.779999,159.567352,3101000
2020-10-30,167.889999,168.750000,165.020004,166.990005,157.875061,3990400
2020-11-02,168.789993,169.809998,167.160004,168.729996,159.520081,3741600
2020-11-03,170.699997,172.960007,170.339996,171.970001,162.583221,4096000
2020-11-04,174.160004,177.850006,173.690002,175.720001,166.128525,3632100
2020-11-05,178.669998,180.080002,178.410004,179.350006,169.560394,3678100
2020-11-06,179.179993,179.800003,178.080002,179.259995,169.475296,3222100
2020-11-09,187.520004,187.520004,181.119995,181.389999,171.489044,5549800
2020-11-10,181.009995,181.690002,179.089996,181.089996,171.205399,5609200
2020-11-11,182.429993,182.899994,181.589996,182.559998,172.595184,2878800
2020-11-12,181.949997,182.399994,179.699997,180.759995,170.893463,3325700
2020-11-13,181.880005,183.639999,181.580002,183.320007,173.313721,4769900
2020-11-16,185.539993,185.610001,184.089996,185.559998,175.431427,6214800
2020-11-17,184.759995,185.690002,183.610001,185.139999,175.034363,5733100
2020-11-18,185.449997,185.750000,183.169998,183.179993,173.181335,3281900
2020-11-19,183.000000,184.350006,182.210007,184.199997,174.145660,3038500
2020-11-20,184.169998,184.169998,183.160004,183.229996,173.228622,2785700
2020-11-23,184.289993,185.199997,183.369995,184.729996,174.646713,4390900
2020-11-24,186.289993,187.820007,185.600006,187.589996,177.350616,5378100
2020-11-25,187.449997,187.679993,186.570007,187.520004,177.284439,3459400
2020-11-27,188.130005,188.369995,187.679993,188.179993,177.908401,1742500
2020-11-30,188.059998,188.130005,185.539993,186.699997,176.509232,3721800
2020-12-01,189.169998,189.800003,188.649994,189.070007,178.749863,3867300
2020-12-02,188.440002,189.289993,187.800003,189.229996,178.901093,3831400
